n,avgQuality,make,model,logValues,modelName,makeName
10#646,82.37,10,646,1.915769066,NokiaLumia900,Nokia
33#2611,82.37,33,2611,1.915769066,SONYERICSSONP900,SonyEricsson
33#2744,82.37,33,2744,1.915769066,SONYERICSSONp910a,SonyEricsson
264#3252,82.37,264,3252,1.915769066,XPERIAX1,SonyEricsson
193#2899,82.37,193,2899,1.915769066,Sidekick3,T-Mobile
214#3068,82.37,214,3068,1.915769066,SidekickSlide,T-Mobile(R)
214#3263,82.37,214,3263,1.915769066,SidekickLX2009,T-Mobile(R)
156#2734,82.37,156,2734,1.915769066,PDR2300,TOSHIBA
33#2618,82.38642857,33,2618,1.915855677,D750i,SonyEricsson
16#4024,82.4175,16,4024,1.916019437,T385,LGElectronics
10#783,82.4175,10,783,1.916019437,N82,Nokia
9#1646,82.43088235,9,1646,1.916089949,E-PM1,OLYMPUSIMAGINGCORP.
15#1133,82.43583333,15,1133,1.916116033,HTCTouchDiamondP3700,HTC
17#858,82.44488372,17,858,1.91616371,C300ZD550Z,OLYMPUSOPTICALCO.LTD
17#2602,82.47555556,17,2602,1.91632525,C4100ZC4000Z,OLYMPUSOPTICALCO.LTD
8#704,82.50598039,8,704,1.916485429,E4300,Nikon
14#384,82.52653846,14,384,1.916593629,CanonPowerShotA530,Canon
8#2038,82.52681818,8,2038,1.916595101,COOLPIXP7100,Nikon
224#2666,82.535,224,2666,1.916638156,DigitalCamera,DigitalCameraMfr
5#2127,82.535,5,2127,1.916638156,Digimax401,SAMSUNG
8#1442,82.54704082,8,1442,1.916701509,E3100,Nikon
14#1917,82.558,14,1917,1.916759163,CanonPowerShotSD1300IS,Canon
8#394,82.56920455,8,394,1.916818101,E4500,Nikon
14#285,82.59722222,14,285,1.916965442,CanonPowerShotA20,Canon
39#283,82.61275862,39,283,1.917047124,HPPhotosmartM630,Hewlett-Packard
33#1057,82.61910714,33,1057,1.917080497,W800i,SonyEricsson
33#2447,82.69236842,33,2447,1.917465431,V600i,SonyEricsson
8#1993,82.701875,8,1993,1.917515356,E4100,Nikon
30#987,82.70288462,30,987,1.917520658,X250D560ZC350Z,OLYMPUSCORPORATION
24#2703,82.725,24,2703,1.917636776,FinePix4900Z,FUJIFILM
12#29,82.769375,12,29,1.917869676,HD2..%=.....,GoPro..U..
279#4011,82.78,279,4011,1.917925422,NS-DSC1110A,Insignia
33#3991,82.78,33,3991,1.917925422,SONYERICSSONW960,SonyEricsson
6#157,82.7998503,6,157,1.918029552,NIKOND70,Nikon Corporation
24#1719,82.825875,24,1719,1.918166033,FinePixS304,FUJIFILM
8#451,82.86430556,8,451,1.918367495,COOLPIXL3,Nikon
7#2507,82.88909091,7,2507,1.918497377,HDR-HC9E,Sony
153#3534,82.934,153,3534,1.918732612,X5,GeneralImagingCo.
17#725,82.93423077,17,725,1.918733821,C3100ZC3020Z,OLYMPUSOPTICALCO.LTD
8#235,82.94346154,8,235,1.918782156,E3200,Nikon
8#883,82.95212121,8,883,1.918827496,E990,Nikon
10#22,82.967,10,22,1.918905387,E7-00,Nokia
8#1102,82.98916667,8,1102,1.919021404,COOLPIXL14,Nikon
254#3952,82.995,254,3952,1.919051929,HDC-1496E/P,HITACHI
8#452,83.01357143,8,452,1.919149099,S1,Nikon
10#236,83.07375,10,236,1.919463815,N70-1,Nokia
17#1307,83.08633929,17,1307,1.919529625,C5050Z,OLYMPUSOPTICALCO.LTD
30#251,83.14,30,251,1.91981002,C750UZ,OLYMPUSCORPORATION
15#1874,83.16333333,15,1874,1.919931888,HTC_P3450,HTC
10#416,83.17833333,10,416,1.920010214,N95,Nokia
14#762,83.19791667,14,762,1.920112451,CanonPowerShotA480,Canon
18#1960,83.20176471,18,1960,1.920132538,KODAKEASYSHAREC140DIGITAL,EASTMANKODAKCOMPANY
6#16,83.20452703,6,16,1.920146956,NIKOND70s,Nikon Corporation
15#718,83.22333333,15,718,1.920245107,HTCHD2T8585,HTC
15#1163,83.22333333,15,1163,1.920245107,HTCTouchProT7272,HTC
15#3338,83.22333333,15,3338,1.920245107,T7380,HTC
17#251,83.25136364,17,251,1.920391356,C750UZ,OLYMPUSOPTICALCO.LTD
97#4173,83.27,97,4173,1.920488565,5MP-9P8,CAMERA
10#844,83.27833333,10,844,1.920532025,5800Xpres,Nokia
228#2753,83.31363636,228,2753,1.92071609,DV3300,DV3300
25#132,83.32009259,25,132,1.920749744,DigimaxA7/KenoxD7,SAMSUNGTECHWINCO.LTD.
14#2680,83.325,14,2680,1.920775322,CanonEOS-1D,Canon
8#513,83.32979167,8,513,1.920800296,COOLPIXS5,Nikon
24#947,83.33160377,24,947,1.92080974,FinePixS8000fd,FUJIFILM
50#478,83.33714286,50,478,1.920838607,DiMAGEG400,KonicaMinoltaCameraInc.
8#785,83.3496,8,785,1.92090352,E2100,Nikon
19#667,83.36,19,667,1.920957706,Droid,Motorola
8#19,83.38163462,8,19,1.921070405,E4600,Nikon
30#440,83.38317647,30,440,1.921078435,u10DS300Du300D,OLYMPUSCORPORATION
26#4180,83.39583333,26,4180,1.921144353,VLUUL100/SamsungL100,SamsungTechwin
9#211,83.4074,9,211,1.921204583,X550D545ZC480Z,OLYMPUSIMAGINGCORP.
18#1609,83.4275,18,1609,1.92130923,KODAKDX7630ZOOMDIGITALCAM,EASTMANKODAKCOMPANY
18#2296,83.4275,18,2296,1.92130923,KODAKEASYSHAREM580DIGITAL,EASTMANKODAKCOMPANY
33#1053,83.4442,33,1053,1.921396155,K770i,SonyEricsson
7#9,83.45405941,7,9,1.921447467,CYBERSHOT,Sony
17#2695,83.45653846,17,2695,1.921460367,C2500L,OLYMPUSOPTICALCO.LTD
26#1064,83.46460784,26,1064,1.921502357,NV24HDVLUUNV24HDLANDIAO,SamsungTechwin
18#1247,83.471875,18,1247,1.921540169,KODAKEASYSHAREM863DIGITAL,EASTMANKODAKCOMPANY
33#1105,83.49375,33,1105,1.921653967,SONYERICSSONP990i,SonyEricsson
17#1154,83.49590909,17,1154,1.921665198,C2040Z,OLYMPUSOPTICALCO.LTD
26#2691,83.49743842,26,2691,1.921673152,<Digimaxi5Samsung#1>,SamsungTechwin
17#2649,83.4975,17,2649,1.921673472,C100D370,OLYMPUSOPTICALCO.LTD
18#1861,83.50559524,18,1861,1.921715576,KODAKEASYSHAREM763DIGITAL,EASTMANKODAKCOMPANY
269#3542,83.51,269,3542,1.921738484,KM-570,LGElectronicsInc
8#116,83.51337838,8,116,1.921756053,COOLPIXAW100,Nikon
14#710,83.51423077,14,710,1.921760485,CanonPowerShotA560,Canon
8#461,83.51722222,8,461,1.921776041,E5600,Nikon
214#2594,83.51875,214,2594,1.921783986,Sidekick(R)3,T-Mobile(R)
39#2794,83.58625,39,2794,1.922134842,HPPhotosmartE217,Hewlett-Packard
15#3300,83.5925,15,3300,1.922167314,HTCTouchPro2T7373,HTC
21#296,83.62,21,296,1.922310163,SLP800,FUJIPHOTOFILMCO.LTD.
33#1410,83.63233333,33,1410,1.922374214,T650i,SonyEricsson
8#1774,83.63714286,8,1774,1.922399188,E880,Nikon
17#911,83.70808824,17,911,1.922767423,C700UZ,OLYMPUSOPTICALCO.LTD
7#1802,83.715,7,1802,1.922803282,DSC-U40,Sony
31#3152,83.73818628,31,3152,1.92292355,QV-2300UX,CASIO
8#526,83.73869048,8,526,1.922926165,E995,Nikon
67#680,83.74333333,67,680,1.922950244,IS12,Traveler
19#2546,83.76,19,2546,1.923036669,XT303,Motorola
122#4036,83.76,122,4036,1.923036669,S8030,Tinno
24#3133,83.795,24,3133,1.923218105,DX-10,FUJIFILM
14#183,83.79923077,14,183,1.923240032,CanonPowerShotG10,Canon
8#333,83.83864865,8,333,1.92344427,COOLPIXS550,Nikon
51#3459,83.8425,51,3459,1.92346422,.,DigitalCamera
9#556,83.84412037,9,556,1.923472613,E-PL3,OLYMPUSIMAGINGCORP.
33#597,83.85775,33,597,1.923543206,K750i,SonyEricsson
17#2163,83.87655172,17,2163,1.923640568,C2D230,OLYMPUSOPTICALCO.LTD
21#620,83.882,21,620,1.923668777,SP-3000,FUJIPHOTOFILMCO.LTD.
25#2605,83.93253778,25,2605,1.923930355,DigimaxA403/KenoxD403,SAMSUNGTECHWINCO.LTD.
8#1017,83.94016667,8,1017,1.923969827,E2200,Nikon
24#3788,83.9475,24,3788,1.924007767,FinePixS3200,FUJIFILM
30#829,83.95714286,30,829,1.924057651,X200D560ZC350Z,OLYMPUSCORPORATION
8#604,83.95884615,8,604,1.924066461,COOLPIXL6,Nikon
286#3477,83.96,286,3477,1.92407243,TLib,SonyCorporation
87#3494,83.969,87,3494,1.924118981,PhotoPC3000Z,SEIKOEPSONCORP.
33#663,83.97857143,33,663,1.924168483,Z610i,SonyEricsson
14#944,84.05666667,14,944,1.924572164,CanonPowerShotA495,Canon
14#1138,84.05666667,14,1138,1.924572164,CanonDIGITALIXUS990IS,Canon
16#3652,84.095,16,3652,1.924770175,GM600,LGElectronics
184#2205,84.115,184,2205,1.924873449,DiMAGEE203,MinoltaCo.Ltd.
17#898,84.1356579,17,898,1.924980095,C3000Z,OLYMPUSOPTICALCO.LTD
48#1703,84.155,48,1703,1.925079924,EX-ZS5,CASIOCOMPUTERCO.LTD.
48#2001,84.155,48,2001,1.925079924,EX-N20,CASIOCOMPUTERCO.LTD.
48#2270,84.155,48,2270,1.925079924,EX-ZS15,CASIOCOMPUTERCO.LTD.
227#3154,84.165,227,3154,1.925131528,Eye-Q4363Z,ConcordCameraCorp.
24#2364,84.17532258,24,2364,1.925184789,X-E2,FUJIFILM
97#1420,84.1825,97,1420,1.925221819,DC2302,CAMERA
97#1501,84.1825,97,1501,1.925221819,DC-3305,CAMERA
14#321,84.18384615,14,321,1.925228764,CanonPowerShotG3,Canon
14#349,84.22454546,14,349,1.925438676,CanonPowerShotA410,Canon
14#992,84.23,14,992,1.925466801,CanonPowerShotSX280HS,Canon
19#3916,84.23,19,3916,1.925466801,MotoroiX32ae0001fff80000015a,Motorola
69#3125,84.23,69,3125,1.925466801,dk4010,Rollei
5#3957,84.23,5,3957,1.925466801,HMX-Q10,SAMSUNG
9#1925,84.2525,9,1925,1.925582796,C170D425,OLYMPUSIMAGINGCORP.
14#192,84.26,14,192,1.925621455,CanonEOS300DDIGITAL,Canon
33#1054,84.26166667,33,1054,1.925630045,W700i,SonyEricsson
9#1417,84.26454546,9,1417,1.925644882,SP500UZ,OLYMPUSIMAGINGCORP.
33#2821,84.265,33,2821,1.925647225,Z710i,SonyEricsson
17#897,84.269,17,897,1.92566784,C2020Z,OLYMPUSOPTICALCO.LTD
14#245,84.27357143,14,245,1.925691399,CanonPowerShotSD110,Canon
14#768,84.27357143,14,768,1.925691399,CanonDIGITALIXUS950IS,Canon
8#1221,84.27434211,8,1221,1.925695371,COOLPIXS3,Nikon
8#117,84.2825,8,117,1.925737409,COOLPIXAW110,Nikon
9#2224,84.28479167,9,2224,1.925749218,SP320,OLYMPUSIMAGINGCORP.
95#1271,84.305,95,1271,1.925853333,DC-4330,BenQ
238#2903,84.305,238,2903,1.925853333,RR330,Caplio
52#4303,84.305,52,4303,1.925853333,DV-2000,DIGITAL
19#3582,84.305,19,3582,1.925853333,MB502,Motorola
26#4079,84.305,26,4079,1.925853333,Digimax240,SamsungTechwin
7#3107,84.305,7,3107,1.925853333,DCR-PC350,Sony
75#3781,84.305,75,3781,1.925853333,DVR-200,Vivitar
54#3956,84.323125,54,3956,1.925946693,PENTAXOptioWG-2,PENTAX
8#503,84.36040541,8,503,1.926138658,E7900,Nikon
17#440,84.36108247,17,440,1.926142144,u10DS300Du300D,OLYMPUSOPTICALCO.LTD
54#1485,84.40369565,54,1485,1.926361463,PENTAXOptioP80,PENTAX
7#2300,84.415,7,2300,1.926419625,DSC-HX400V,Sony
8#218,84.45036585,8,218,1.926601535,E3700,Nikon
7#782,84.45425,7,782,1.92662151,DSC-U60,Sony
41#1801,84.46,41,1801,1.926651077,DiMAGEX1,KONICAMINOLTA
7#2853,84.46666667,7,2853,1.926685356,DSC-U50,Sony
50#1494,84.47035714,50,1494,1.92670433,DiMAGEZ2,KonicaMinoltaCameraInc.
10#2448,84.48,10,2448,1.926753905,503,Nokia
33#661,84.50714286,33,661,1.926893419,S500i,SonyEricsson
8#1622,84.5183871,8,1622,1.926951201,COOLPIXL110,Nikon
322#4218,84.58,322,4218,1.927267681,Oregon550t,Garmin
26#695,84.60236111,26,695,1.927382484,NV8VLUUNV8,SamsungTechwin
5#3529,84.61351852,5,3529,1.927439755,SPH-D700,SAMSUNG
109#2217,84.62666667,109,2217,1.927507235,FinecamM410R,KYOCERA
34#230,84.63166667,34,230,1.927532894,DeluxeClassicCam,MercuryPeripheralsInc.
30#2370,84.6491,30,2370,1.927622345,u15D,OLYMPUSCORPORATION
11#2329,84.66833333,11,2329,1.927721011,PENTAXOptio33WR,PENTAXCorporation
9#2874,84.67566667,9,2874,1.927758625,FE160X735,OLYMPUSIMAGINGCORP.
30#2579,84.68883721,30,2579,1.92782617,C-5000Z,OLYMPUSCORPORATION
33#2932,84.7,33,2932,1.92788341,K618i,SonyEricsson
67#3402,84.7,67,3402,1.92788341,SuperslimXS8,Traveler
203#2437,84.70714286,203,2437,1.927920033,Spca533,Sunplus
15#2682,84.725,15,2682,1.928011578,Apache,HTC
19#3524,84.7325,19,3524,1.92805002,DROID2049a0001fff80000015da4,Motorola
19#3981,84.7325,19,3981,1.92805002,MB612,Motorola
6#2383,84.79785714,6,2383,1.928384878,NIKOND3X,Nikon Corporation
9#2419,84.79865385,9,2419,1.928388958,SP-720UZ,OLYMPUSIMAGINGCORP.
33#1031,84.81083333,33,1031,1.92845133,W900i,SonyEricsson
10#1713,84.815,10,1713,1.928472666,7390,Nokia
187#2428,84.815,187,2428,1.928472666,Xda_Guide,o2
164#1891,84.815,164,1891,1.928472666,VPC-E1000,SANYOElectricCo.Ltd.....
163#1881,84.8325,163,1881,1.928562266,DCZ5.5,PENTACON
241#2437,84.8325,241,2437,1.928562266,Spca533,ShouYing
191#2308,84.8325,191,2308,1.928562266,SPCA536,SUNPLUSTECHNOLOGYCO.LTD.
14#1274,84.83928571,14,1274,1.928597003,CanonDIGITALIXUS110IS,Canon
49#403,84.84,49,403,1.92860066,SAMSUNG,Corelogic
26#805,84.84625,26,805,1.928632652,DigimaxA400,SamsungTechwin
14#997,84.84642857,14,997,1.928633566,CanonDIGITALIXUSv,Canon
5#2905,84.849,5,2905,1.928646728,Digimax301,SAMSUNG
9#3949,84.85,9,3949,1.928651847,TG-620,OLYMPUSIMAGINGCORP.
20#1155,84.85833333,20,1155,1.928694498,BlackBerry9500,ResearchInMotion
9#2749,84.85892857,9,2749,1.928697544,C55ZC5500Z,OLYMPUSIMAGINGCORP.
17#289,84.85935897,17,289,1.928699747,C200ZD510Z,OLYMPUSOPTICALCO.LTD
95#3286,84.859375,95,3286,1.928699829,C745,BenQ
30#154,84.87414286,30,154,1.928775401,C5060WZ,OLYMPUSCORPORATION
14#1246,84.913125,14,1246,1.928974824,CanonPowerShotS500,Canon
33#2418,84.92214286,33,2418,1.929020944,SONYERICSSONG900,SonyEricsson
97#2904,84.93,97,2904,1.929061124,3MP-9P5,CAMERA
88#877,84.93,88,877,1.929061124,CameraZOOMFXforAndroid,CameraZOOMFX
14#2557,84.93,14,2557,1.929061124,DCR-SR90E,Canon
51#3226,84.93,51,3226,1.929061124,5MP-9BH,DigitalCamera
285#3467,84.93,285,3467,1.929061124,HTC,HD2T8585
254#4225,84.93,254,4225,1.929061124,HDC-991E,HITACHI
15#678,84.93,15,678,1.929061124,HTC_HD2,HTC
15#827,84.93,15,827,1.929061124,HTC_P4350,HTC
15#1132,84.93,15,1132,1.929061124,AndroidDevPhone1,HTC
15#1227,84.93,15,1227,1.929061124,XdaOrbit,HTC
15#1657,84.93,15,1657,1.929061124,HTCMagic,HTC
15#1815,84.93,15,1815,1.929061124,HTC_Touch_HD_T8282,HTC
15#2020,84.93,15,2020,1.929061124,HTC_S710,HTC
15#2093,84.93,15,2093,1.929061124,Touch_Diamond,HTC
15#2113,84.93,15,2113,1.929061124,HTCSnapS521,HTC
15#2465,84.93,15,2465,1.929061124,HTC-P4350,HTC
15#2567,84.93,15,2567,1.929061124,HTC_TyTN_II,HTC
15#3213,84.93,15,3213,1.929061124,S21HT,HTC
15#3355,84.93,15,3355,1.929061124,MDA_compact_IV,HTC
15#3393,84.93,15,3393,1.929061124,RHOD500,HTC
15#3399,84.93,15,3399,1.929061124,B,HTC
15#3401,84.93,15,3401,1.929061124,TouchDiamond2T5353,HTC
15#3413,84.93,15,3413,1.929061124,HTC_Touch_Pro2_T7385,HTC
199#2411,84.93,199,2411,1.929061124,HTC-8900,HTC-8900
277#3371,84.93,277,3371,1.929061124,HTC-ST7377,HTC-ST7377
258#3214,84.93,258,3214,1.929061124,HTC-TouchPRO,HTC-TouchPRO
63#1797,84.93,63,1797,1.929061124,Vodafone845,HUAWEI
92#3886,84.93,92,3886,1.929061124,W51S,KDDI-SN
147#1680,84.93,147,1680,1.929061124,GD880,LGElec.
16#1332,84.93,16,1332,1.929061124,LG-E612,LGElectronics
16#1333,84.93,16,1333,1.929061124,LG-E730,LGElectronics
16#1335,84.93,16,1335,1.929061124,LG-P705,LGElectronics
16#1705,84.93,16,1705,1.929061124,LG-E610,LGElectronics
16#2372,84.93,16,2372,1.929061124,LG-P690,LGElectronics
16#3499,84.93,16,3499,1.929061124,VS740,LGElectronics
267#4166,84.93,267,4166,1.929061124,GB-250,LGElectronicsInc.
280#1101,84.93,280,1101,1.929061124,DigitalCam,MEDIONAG
19#1803,84.93,19,1803,1.929061124,A853,Motorola
19#2187,84.93,19,2187,1.929061124,Motorola-XT502,Motorola
209#2525,84.93,209,2525,1.929061124,MyPhoneAguaRio,MyPhone
10#153,84.93,10,153,1.929061124,E90,Nokia
10#341,84.93,10,341,1.929061124,700,Nokia
10#797,84.93,10,797,1.929061124,X3-00,Nokia
10#838,84.93,10,838,1.929061124,X6-00,Nokia
10#894,84.93,10,894,1.929061124,E75-1,Nokia
10#1103,84.93,10,1103,1.929061124,N97mini,Nokia
10#1127,84.93,10,1127,1.929061124,2710c-2,Nokia
10#1354,84.93,10,1354,1.929061124,600,Nokia
10#1357,84.93,10,1357,1.929061124,C3-00,Nokia
10#1359,84.93,10,1359,1.929061124,C6-00,Nokia
10#1361,84.93,10,1361,1.929061124,E6-00,Nokia
10#1364,84.93,10,1364,1.929061124,N868MP,Nokia
10#1367,84.93,10,1367,1.929061124,X7-00,Nokia
10#1418,84.93,10,1418,1.929061124,5530,Nokia
10#1427,84.93,10,1427,1.929061124,N79,Nokia
10#1799,84.93,10,1799,1.929061124,X2-00,Nokia
10#2304,84.93,10,2304,1.929061124,5730S-1,Nokia
10#2305,84.93,10,2305,1.929061124,C2-03,Nokia
10#3679,84.93,10,3679,1.929061124,C7-00.1,Nokia
10#3870,84.93,10,3870,1.929061124,603,Nokia
187#1815,84.93,187,1815,1.929061124,HTC_Touch_HD_T8282,o2
187#2256,84.93,187,2256,1.929061124,Xda_orbit_2,o2
187#2362,84.93,187,2362,1.929061124,Xda_diamond,o2
20#517,84.93,20,517,1.929061124,BlackBerry9300,ResearchInMotion
5#4251,84.93,5,4251,1.929061124,SHV-E170K,SAMSUNG
7#4298,84.93,7,4298,1.929061124,DCR-DVD610,Sony
144#1628,84.93,144,1628,1.929061124,T-MobileDash,T-MobileDash
106#1137,84.93,106,1137,1.929061124,generic,unknown
23#2093,84.93,23,2093,1.929061124,Touch_Diamond,Vodafone
23#2568,84.93,23,2568,1.929061124,v1615,Vodafone
23#3269,84.93,23,3269,1.929061124,HTC_Touch_Diamond,Vodafone
23#3318,84.93,23,3318,1.929061124,HTC_Touch_Pro,Vodafone
137#1520,84.93333333,137,1520,1.929078169,KonicaDigitalCameraKD-410Z,Konica
9#505,84.9333913,9,505,1.929078465,XZ-1,OLYMPUSIMAGINGCORP.
91#2875,84.95,91,2875,1.929163383,N903i,DoCoMo
15#1028,84.95,15,1028,1.929163383,Elf100,HTC
15#3134,84.95,15,3134,1.929163383,HTC_P3700,HTC
19#72,84.95,19,72,1.929163383,MB200,Motorola
106#3728,84.95,106,3728,1.929163383,1.3MDigitalCAM,unknown
293#3674,84.95,293,3674,1.929163383,Vista,WWL.LTD
44#567,84.95,44,567,1.929163383,DigitalCamPro,
8#612,84.951,8,612,1.929168496,E3500,Nikon
87#2798,84.95607143,87,2798,1.929194421,L-500V,SEIKOEPSONCORP.
9#2181,84.95916667,9,2181,1.929210244,C180D435,OLYMPUSIMAGINGCORP.
49#2055,84.96,49,2055,1.929214504,SAMSUNGSGH-T809,Corelogic
10#1722,84.96,10,1722,1.929214504,N90-1,Nokia
14#1061,84.96222222,14,1061,1.929225863,CanonDIGITALIXUS900Ti,Canon
6#162,84.99181081,6,162,1.929377082,NIKOND40,Nikon Corporation
14#171,85.000625,14,171,1.929422119,CanonPowerShotSD100,Canon
38#1432,85.00074074,38,1432,1.92942271,DiMAGEX20,MinoltaCo.Ltd.
38#1039,85.00340909,38,1039,1.929436344,DiMAGEZ1,MinoltaCo.Ltd.
14#688,85.01071429,14,688,1.929473665,CanonDIGITALIXUS430,Canon
9#1288,85.011,9,1288,1.929475125,IR-300,OLYMPUSIMAGINGCORP.
8#995,85.031875,8,995,1.929581756,E950,Nikon
14#518,85.07388889,14,518,1.929796286,CanonDIGITALIXUS980IS,Canon
10#23,85.12,10,23,1.930031615,N73,Nokia
17#2947,85.143,17,2947,1.930148948,C-1ZD-150Z,OLYMPUSOPTICALCO.LTD
14#1630,85.146,14,1630,1.93016425,CanonDIGITALIXUSi7zoom,Canon
33#413,85.18142857,33,413,1.930344919,W850i,SonyEricsson
230#2776,85.1925,230,2776,1.930401363,A5503SA,KDDI-SA
33#562,85.215,33,562,1.930516048,V630i,SonyEricsson
25#2946,85.23421012,25,2946,1.930613941,DigimaxA55W/KenoxQ25WIDE,SAMSUNGTECHWINCO.LTD.
5#972,85.2575,5,972,1.930732594,GT-N5110,SAMSUNG
14#547,85.25928571,14,547,1.93074169,CanonDIGITALIXUS95IS,Canon
92#2712,85.27928571,92,2712,1.930843554,W21S,KDDI-SN
8#2341,85.29666667,8,2341,1.93093206,E5100,Nikon
3#460,85.311875,3,460,1.931009487,iPadmini,apple
30#2408,85.31631579,30,2408,1.931032093,X300D565ZC450Z,OLYMPUSCORPORATION
54#876,85.3175,54,876,1.931038121,PENTAXOptioRZ18,PENTAX
38#792,85.32125,38,792,1.931057209,DiMAGEXt,MinoltaCo.Ltd.
17#1927,85.32891892,17,1927,1.931096243,C730UZ,OLYMPUSOPTICALCO.LTD
33#807,85.3325,33,807,1.931114469,J10i2,SonyEricsson
18#1598,85.33545455,18,1598,1.931129506,KODAKEASYSHAREC1013DIGITAL,EASTMANKODAKCOMPANY
4#2590,85.33719512,4,2590,1.931138364,SV-AS10,Panasonic
30#2449,85.35042857,30,2449,1.931205706,C460ZdelSol,OLYMPUSCORPORATION
5#2154,85.354,5,2154,1.931223879,SCH-U820,SAMSUNG
33#3056,85.365,33,3056,1.931279845,W810c,SonyEricsson
30#1416,85.3825,30,1416,1.931368867,u20DS400Du400D,OLYMPUSCORPORATION
6#298,85.3905,6,298,1.931409557,NIKOND50,Nikon Corporation
8#198,85.39696809,8,198,1.931442452,E5200,Nikon
14#545,85.405,14,545,1.931483297,CanonDIGITALIXUS700,Canon
8#427,85.42723404,8,427,1.931596345,E775,Nikon
92#2694,85.428,92,2694,1.931600239,W31S,KDDI-SN
14#594,85.4675,14,594,1.931801001,CanonDIGITALIXUS90IS,Canon
76#756,85.47402778,76,756,1.93183417,DiMAGEX,MINOLTACO.LTD
14#1015,85.47777778,14,1015,1.931853223,CanonDIGITALIXUS850IS,Canon
9#902,85.47891892,9,902,1.931859021,D595ZC500Z,OLYMPUSIMAGINGCORP.
257#3203,85.485,257,3203,1.931889916,KP202,LGELEC
257#3350,85.485,257,3350,1.931889916,Mobile,LGELEC
257#3772,85.485,257,3772,1.931889916,KP17X,LGELEC
51#2666,85.49666667,51,2666,1.931949183,DigitalCamera,DigitalCamera
73#727,85.5115625,73,727,1.932024842,RDC-7,RICOH
26#2164,85.52073363,26,2164,1.932071418,Digimax360,SamsungTechwin
25#2989,85.53963283,25,2989,1.932167382,DigimaxA503/KenoxD503,SAMSUNGTECHWINCO.LTD.
14#67,85.54125,14,67,1.932175592,CanonPowerShotSD1200IS,Canon
14#979,85.54125,14,979,1.932175592,CanonPowerShotSD960IS,Canon
14#1592,85.54125,14,1592,1.932175592,CanonPowerShotA3000IS,Canon
14#2209,85.54166667,14,2209,1.932177708,CanonPowerShotS300,Canon
14#1047,85.55555556,14,1047,1.932248216,CanonPowerShotS30,Canon
17#1845,85.57529412,17,1845,1.9323484,E100RS,OLYMPUSOPTICALCO.LTD
95#2896,85.57904762,95,2896,1.932367449,C640,BenQ
8#1179,85.58833333,8,1179,1.932414569,COOLPIXP80,Nikon
24#2406,85.59003049,24,2406,1.932423181,MX-1500,FUJIFILM
97#1273,85.59833333,97,1273,1.932465309,8MP-9Q6,CAMERA
7#641,85.60131579,7,641,1.93248044,DSC-W35,Sony
11#862,85.62416667,11,862,1.932596358,PENTAXOptioA30,PENTAXCorporation
8#2910,85.6283871,8,2910,1.932617764,E4800,Nikon
14#167,85.63375,14,167,1.932644963,CanonPowerShotSD200,Canon
14#544,85.63375,14,544,1.932644963,CanonDIGITALIXUS400,Canon
14#614,85.63375,14,614,1.932644963,CanonPowerShotSD630,Canon
91#3322,85.67,91,3322,1.932828767,N703iD,DoCoMo
9#250,85.69418919,9,250,1.932951374,FE190/X750,OLYMPUSIMAGINGCORP.
217#3065,85.71707547,217,3065,1.933067345,DigimaxV5/KenoxV5,SAMSUNGTECHWINCO.LTD
101#1087,85.73,101,1087,1.933132824,IX-30,PRIMAX
9#1415,85.73101695,9,1415,1.933137975,TG-1,OLYMPUSIMAGINGCORP.
8#910,85.74673077,8,910,1.933217571,COOLPIXL310,Nikon
24#2786,85.75304348,24,2786,1.933249543,FinePixA700,FUJIFILM
4#625,85.76063063,4,625,1.933287966,DMC-FZ28,Panasonic
17#1965,85.78,17,1965,1.933386042,C4040Z,OLYMPUSOPTICALCO.LTD
9#2748,85.7865,9,2748,1.933418949,FE-120X-700,OLYMPUSIMAGINGCORP.
33#205,85.78666667,33,205,1.933419793,K610i,SonyEricsson
9#2149,85.83151163,9,2149,1.933646761,E-P5,OLYMPUSIMAGINGCORP.
54#1959,85.8336,54,1959,1.933657328,PENTAXX90,PENTAX
17#1753,85.84660714,17,1753,1.933723135,C3030Z,OLYMPUSOPTICALCO.LTD
20#601,85.8575,20,601,1.933778239,BlackBerry9000,ResearchInMotion
38#775,85.86421875,38,775,1.933812223,DiMAGEF300,MinoltaCo.Ltd.
10#199,85.89,10,199,1.933942603,N72,Nokia
10#1947,85.89,10,1947,1.933942603,N71,Nokia
10#2025,85.89,10,2025,1.933942603,N91,Nokia
86#1536,85.89125,86,1536,1.933948923,SH1810C,SHARP
24#836,85.89627451,24,836,1.933974328,FinePixF402,FUJIFILM
18#335,85.90166667,18,335,1.93400159,KODAKDC290ZoomDigitalCame,EASTMANKODAKCOMPANY
86#1997,85.92785714,86,1997,1.934133982,WX-T91,SHARP
8#757,85.94123288,8,757,1.93420158,COOLPIXS51c,Nikon
14#420,85.95076923,14,420,1.934249768,CanonPowerShotA610,Canon
30#723,85.96225807,30,723,1.934307815,u30DS410Du410D,OLYMPUSCORPORATION
14#812,85.96333333,14,812,1.934313247,CanonPowerShotSD890IS,Canon
14#1226,85.96333333,14,1226,1.934313247,CanonIXYDIGITAL920IS,Canon
